Training with only sequence
Train Epoch: 219 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.830
Train Epoch: 220 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.830
Train Epoch: 221 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.831
Train Epoch: 222 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.831
Train Epoch: 223 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.831
Train Epoch: 224 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.831
Train Epoch: 225 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.832
Train Epoch: 226 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.833
Train Epoch: 227 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.832
Train Epoch: 228 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.833
Train Epoch: 229 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.833
Train Epoch: 230 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.833
Train Epoch: 231 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.833
Train Epoch: 232 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.833
Train Epoch: 233 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.834
Train Epoch: 234 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.834
Train Epoch: 235 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.835
Train Epoch: 236 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.835
Train Epoch: 237 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.836
Train Epoch: 238 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.836
Train Epoch: 239 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.836
